Distance_(pixels),Gray_Value,Distance_(cm),Relative_Gray_Value
275,204.937,4.274611399,0.8047253865
276,205.516,4.29015544,0.8069989437
277,201.226,4.305699482,0.790153416
278,203.793,4.321243523,0.8002332458
279,201.005,4.336787565,0.7892856161
280,211.162,4.352331606,0.8291690718
281,213.045,4.367875648,0.8365630411
282,217.333,4.383419689,0.8534007154
283,224.097,4.398963731,0.8799608901
284,223.46,4.414507772,0.8774595845
285,223.504,4.430051813,0.8776323591
286,219.805,4.445595855,0.863107509
287,224.318,4.461139896,0.88082869
288,230.563,4.476683938,0.9053509092
289,231.786,4.492227979,0.910153259
290,233.094,4.507772021,0.9152893779
291,234.627,4.523316062,0.9213090035
292,229.594,4.538860104,0.9015459404
293,232.622,4.554404145,0.9134359772
294,234.091,4.569948187,0.9192042942
295,237.318,4.585492228,0.9318757436
296,243.948,4.601036269,0.957909741
297,250.509,4.616580311,0.9836727962
298,250.081,4.632124352,0.9819921702
299,250.176,4.647668394,0.9823652063
300,252.233,4.663212435,0.9904424209
301,251.922,4.678756477,0.9892212183
302,249.671,4.694300518,0.9803822246
303,252.558,4.70984456,0.9917185972
304,254.409,4.725388601,0.9989869123
305,254.195,4.740932642,0.9981465993
306,253.965,4.756476684,0.9972434591
307,253.569,4.772020725,0.9956884873
308,250.943,4.787564767,0.9853769825
309,253,4.803108808,0.993454197
310,252.131,4.81865285,0.9900418979
311,252.741,4.834196891,0.9924371827
312,253.591,4.849740933,0.9957748746
313,254.423,4.865284974,0.9990418861
314,254.139,4.880829016,0.9979267043
315,250.575,4.896373057,0.9839319582
316,253.108,4.911917098,0.9938782803
317,253.667,4.92746114,0.9960733036
318,253.436,4.943005181,0.9951662367
319,254.136,4.958549223,0.9979149242
320,253.81,4.974093264,0.9966348212
321,254.272,4.989637306,0.9984489549
322,253.219,5.005181347,0.9943141436
323,254.167,5.020725389,0.9980366518
324,252.317,5.03626943,0.9907722634
325,253.365,5.051813472,0.9948874412
326,253.716,5.067357513,0.9962657117
327,254.469,5.082901554,0.9992225141
328,253.773,5.098445596,0.9964895334
329,253.787,5.113989637,0.9965445071
330,251.673,5.129533679,0.9882434709
331,253.269,5.14507772,0.9945104784
332,253.57,5.160621762,0.995692414
333,254.066,5.176165803,0.9976400554
334,252.927,5.191709845,0.9931675482
335,253.225,5.207253886,0.9943377037
336,254.667,5.222797927,1
337,251.697,5.238341969,0.9883377116
338,251.201,5.25388601,0.9863900702
339,254.326,5.269430052,0.9986609965
340,253.194,5.284974093,0.9942159762
341,252.802,5.300518135,0.9926767112
342,251.213,5.316062176,0.9864371905
343,253.655,5.331606218,0.9960261832
344,253.651,5.347150259,0.9960104764
345,253.019,5.362694301,0.9935288043
346,251.081,5.378238342,0.9859188666
347,253.647,5.393782383,0.9959947696
348,253.973,5.409326425,0.9972748727
349,250.05,5.424870466,0.9818704426
350,248.504,5.440414508,0.9757997699
351,244.767,5.455958549,0.9611257053
352,242.77,5.471502591,0.9532840926
353,248.737,5.487046632,0.9767146902
354,252.931,5.502590674,0.993183255
355,251.829,5.518134715,0.9888560355
356,253.71,5.533678756,0.9962421515
357,247.258,5.549222798,0.9709071061
358,246.537,5.564766839,0.968075958
359,243.554,5.580310881,0.9563626226
360,245.813,5.595854922,0.9652330298
361,245.333,5.611398964,0.9633482155
362,249.667,5.626943005,0.9803665178
363,247.573,5.642487047,0.9721440155
364,246.711,5.658031088,0.9687592032
365,245.523,5.67357513,0.9640942878
366,243.828,5.689119171,0.9574385374
367,244.279,5.704663212,0.9592094775
368,243.547,5.720207254,0.9563351357
369,241.126,5.735751295,0.9468286036
370,235.987,5.751295337,0.9266493107
371,233.641,5.766839378,0.9174372808
372,225.454,5.78238342,0.8852894172
373,225.324,5.797927461,0.8847789466
374,228.622,5.813471503,0.8977291915
375,226.722,5.829015544,0.8902684682
376,225.951,5.844559585,0.8872409853
377,228.296,5.860103627,0.8964490884
378,221.814,5.875647668,0.8709962422
379,222.134,5.89119171,0.872252785
380,220.982,5.906735751,0.8677292307
381,219.968,5.922279793,0.8637475605
382,222.924,5.937823834,0.8753548752
383,224.121,5.953367876,0.8800551308
384,214.694,5.968911917,0.8430381636
385,215.702,5.984455959,0.8469962736
386,212.898,6,0.8359858168
387,205.558,6.015544041,0.807163865
388,201.697,6.031088083,0.79200289
389,199.244,6.046632124,0.7823707037
390,198.17,6.062176166,0.7781534317
391,188.745,6.077720207,0.7411443179
392,181.148,6.093264249,0.7113132051
393,194.513,6.10880829,0.7637935029
394,182.692,6.124352332,0.7173760244
395,186.573,6.139896373,0.7326155332
396,187.347,6.155440415,0.7356547963
397,178.214,6.170984456,0.6997922778
398,185.727,6.186528497,0.729293548
399,151.953,6.202072539,0.5966733028
400,162.564,6.21761658,0.6383394786
401,167.477,6.233160622,0.6576313382
402,149.145,6.248704663,0.5856471392
403,148.799,6.264248705,0.5842885022
404,151.824,6.279792746,0.5961667589
405,143.799,6.295336788,0.5646550201
406,150.574,6.310880829,0.5912583884
407,130.19,6.32642487,0.5112166084
408,121.006,6.341968912,0.4751538283
409,136.659,6.357512953,0.5366184076
410,125.088,6.373056995,0.4911826032
411,106.683,6.388601036,0.4189117554
412,112.522,6.404145078,0.4418397358
413,101.363,6.419689119,0.3980217303
414,107.262,6.435233161,0.4211853126
415,109.779,6.450777202,0.4310688075
416,107.396,6.466321244,0.4217114899
417,95.78,6.481865285,0.3760989842
418,98.754,6.497409326,0.3877769793
419,94.577,6.512953368,0.3713751684
420,82.338,6.528497409,0.3233163307
421,81.177,6.544041451,0.3187574362
422,78.132,6.559585492,0.3068006455
423,67.476,6.575129534,0.2649577684
424,62.923,6.590673575,0.2470795195
425,51.697,6.606217617,0.2029984254
426,39.754,6.621761658,0.1561018899
427,33.474,6.637305699,0.1314422363
428,33.041,6.652849741,0.1297419768
429,24.352,6.668393782,0.09562291149
430,24.445,6.683937824,0.09598809426
431,29.368,6.699481865,0.1153192208
432,29.032,6.715025907,0.1139998508
433,25.851,6.730569948,0.1015090294
434,29.705,6.74611399,0.1166425175
435,43.157,6.761658031,0.1694644379
436,47.331,6.777202073,0.1858544688
437,51.271,6.792746114,0.2013256527
438,50.751,6.808290155,0.1992837706
439,53.602,6.823834197,0.2104787821
440,63.569,6.839378238,0.2496161654
441,72.032,6.85492228,0.2828477973
442,74.459,6.870466321,0.2923778896
443,76.916,6.886010363,0.3020257827
444,83.669,6.901554404,0.3285427637
445,91.002,6.917098446,0.3573372286
446,93.595,6.932642487,0.3675191525
447,88.901,6.948186528,0.3490872394
448,89.152,6.96373057,0.3500728402
449,92.289,6.979274611,0.3623908869
450,90.55,6.994818653,0.3555623618
451,88.681,7.010362694,0.3482233662
452,86.647,7.025906736,0.3402364657
453,92.039,7.041450777,0.3614092128
454,91.486,7.056994819,0.3592377497
455,89.164,7.07253886,0.3501199606
456,92.893,7.088082902,0.3647626116
457,94.866,7.103626943,0.3725099836
458,93.54,7.119170984,0.3673031842
459,94.06,7.134715026,0.3693450663
460,103.501,7.150259067,0.4064170073
461,92.923,7.165803109,0.3648804125
462,89.866,7.18134715,0.3528765015
463,94,7.196891192,0.3691094645
464,97.025,7.212435233,0.3809877212
465,91.798,7.227979275,0.360462879
466,89.405,7.243523316,0.3510662944
467,97.994,7.259067358,0.3847926901
468,99.447,7.274611399,0.39049818
469,94.737,7.29015544,0.3720034398
470,96.306,7.305699482,0.3781644265
471,99.564,7.321243523,0.3909576035
472,99.53,7.336787565,0.3908240958
473,95.099,7.352331606,0.3734249039
474,92.005,7.367875648,0.3612757051
475,95.827,7.383419689,0.3762835389
